id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
65|1|1|Mercado Central|Mayorista|Av. Circunvalacion E/los Tallos y los Frutos|0|-34.712182|-58.499002|||1771|Villa Celina|AR-B|07:00 a 18:00|07:00 a 18:00|07:00 a 18:00|07:00 a 18:00|07:00 a 18:00|08:00 a 18:00|09:00 a 14:00
65|1|2|Posadas|Mayorista|Ruta Nacional 12 e/Cerrito y Av. R.A.Dominguez|0|-27.403294|-55.901788|||3300|Posadas|AR-N|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|Cerrado
65|1|3|Trelew|Mayorista|Av.Eva Peron 2400|0|-43.267775|-65.281537|||9100|Trelew|AR-U|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|5|San Martin|Mayorista|Av Ricardo Balbin 2886|0|-34.573955|-58.551313|||1650|San Martin|AR-B|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|7|Barracas|Mayorista|Montes de Oca 2010|0|-34.649928|-58.371800|||1270|Capital Federal|AR-C|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|9|Neuquen|Mayorista|Perticone 2415|0|-38.953354|-68.025093|||8300|Neuquen|AR-Q|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|10|Junin|Mayorista|Ruta 7 y Benito de Miguel|0|-34.604656|-60.966508|||6000|Junin|AR-B|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|11|Bahia Blanca|Mayorista|Av. Colon 2621/7|0|-38.739688|-62.295420|||8000|B.Blanca|AR-B|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|12|La Rioja|Mayorista|Ruta Nac 38 Esq. Malivinas Argentinas|0|-29.421635|-66.828026|||5300|La Rioja|AR-F|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
65|1|13|Pilar|Mayorista|Autopista Panamericana Ramal Pilar Km 47.500|0|-34.440667|-58.844871|||1629|Pilar|AR-B|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 19:00|08:00 a 20:00|Cerrado
65|1|18|Pergamino|Mayorista|Ruta 8 Malvinas Argentinas 848/880|0|-33.915102|-60.586963|||2700|Pergamino|AR-B|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 17:00|Cerrado
