id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|id_dun_14|productos_descripcion|productos_marca|precio_unitario_bulto_por_unidad_venta_con_iva|precio_unitario_bulto_por_unidad_venta_sin_iva|unidad_venta|precio_bulto_con_iva|precio_bulto_sin_iva|productos_precio_unitario_con_iva_promo1|productos_precio_unitario_sin_iva_promo1|productos_leyenda_promo1|productos_precio_unitario_con_iva_promo2|productos_precio_unitario_sin_iva_promo2|productos_leyenda_promo2
64|1|2|0000000003136|0|00000000000000|QUE.SARDO SANTA ROSA TROZ.X KG|SANTA ROSA|40649.91|33594.97|1|40649.91|33594.97||||||
64|1|2|0000000004008|0|17790398000385|MANT.LA PAULINA PILON 5KG|LA PAULINA|83900.01|69338.85|1|83900.01|69338.85||||||
64|1|2|0000000006498|0|00000000000000|QUE.REGGIANITO SANTA ROSA TROZ.XKG|SANTA ROSA|42579.90|35190.00|1|42579.90|35190.00||||||
64|1|2|0000000007410|0|7791813421368|GAS.PASO DE LOS TOROS TONICA 1,5LT|PASO DE LOS TOROS|2637.85|2180.04|6|15827.10|13080.24||||||
64|1|2|0000000008301|0|7798113888181|BAZ.TORTERA ALTA TREYE N.24 ALUMINIO|TREYE|10854.90|8970.99|1|10854.90|8970.99||||||
64|1|2|0000000027183|0|27790070411987|OBLEA CHO.ARROZ GALLO 20GR|GALLO|1189.90|983.39|24|28557.60|23601.36||||||
64|1|2|0000000029894|0|00000000000000|QUE.PROVOLETA VIA LACTEA PORC.X KG|VIA LACTEA|19999.00|16528.10|1|19999.00|16528.10||||||
64|1|2|0000000030551|0|00000000000000|FIA.CER.PALETA CAMPO AUSTRAL X KG|CAMPO AUSTRAL|8255.00|6822.31|1|8255.00|6822.31||||||
64|1|2|0000000040234|0|00000000000000|QUE.FONTINA SUIZO LA PAULINA KG|LA PAULINA|22139.90|18297.44|1|22139.90|18297.44||||||
64|1|2|0000000073486|0|00000000000000|QUE.CRE.BARRAZA X KG|BARRAZA|8490.00|7016.53|1|8490.00|7016.53||||||
64|1|2|0000000073487|0|00000000000000|QUE.POR SALUT BARRAZA X KG|BARRAZA|8849.00|7313.22|1|8849.00|7313.22||||||
64|1|2|0000000074365|0|00000000000000|QUE.BAR.CHEDDAR LACTEAR X KG|LACTEAR|5590.01|4619.84|1|5590.01|4619.84||||||
64|1|2|0000000075941|0|00000000000000|QUE.PATEGRAS MILKAUT TROZ.X KG|MILKAUT|30684.90|25359.42|1|30684.90|25359.42||||||
64|1|2|0000000075949|0|00000000000000|QUE.PROVOLETA SANTA ROSA TROZ.X KG|SANTA ROSA|42414.90|35053.64|1|42414.90|35053.64||||||
64|1|2|0000000081502|0|7794990866670|QUE.PROVOLONE LA PAULINA X KG|LA PAULINA|31199.02|25784.31|1|31199.02|25784.31||||||
64|1|2|0000000081503|0|7794990866519|QUE.GOUDA LA PAULINA X KG|LA PAULINA|20779.91|17173.48|1|20779.91|17173.48||||||
