id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
61|1|1|olivos|mayorista|esteban echeverria|2870|-34.520684|-58.514367|(panamericana entre ugarte y pelliza)|munro|1605|munro|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|2|avellaneda|mayorista|francisco pienovi|318|-34.663773|-58.388860|(esq. fiorito)|avellaneda|1870|avellaneda|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|3|haedo|mayorista|luis p. guemes|452|-34.639272|-58.582107|(prov. de buenos aires)|haedo|1706|haedo|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|4|cordoba|mayorista|avenida colon|3500|-31.400554|-64.226721|(prov. de c?rdoba)|cordoba|5000|cordoba|AR-X|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|5|rosario|mayorista|circunvalacion y autopista|3500|-32.880085|-60.710897|(autopista a santa fe)|rosario|2000|rosario|AR-S|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|cerrado
61|1|6|quilmes|mayorista|avenida calchaqui|500|-34.732302|-58.297087|(prov. de buenos aires)|quilmes|1878|quilmes|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|8|lomas de zamora|mayorista|juan d. peron|250|-34.763209|-58.431755| (ex camino negro)|lomas de zamora|1832|lomas de zamora|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|9|san justo|mayorista|avenida juan m. de rosas|3280|-34.680935|-58.552142|(prov. de buenos aires)|san justo|1754|san justo|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|10|san martin|mayorista|avenida gral. paz y constituyentes|2000|-34.57867|-58.515079|(prov. de buenos aires)|san mart?n|1650|san mart?n|AR-B|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
61|1|11|mendoza|mayorista|rodriguez peña|790|-32.928859|-68.825036|(godoy cruz, prov. de mendoza)|mendoza|5501|mendoza|AR-M|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|08:00 a 21:30|10:00 a 20:00
