id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
63|1|66|Sucursal Comodoro Rivadavia|mayorista|Av. Yrigoyen|3057|-45.88|-67.52|||9003|Comodoro Rivadavia|AR-U|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|08:00 a 18:00|10:00 a 17:00
63|1|15|Sucursal Chaco|mayorista|Ruta 11 Km.1005||-27.434656|-59.009059|||3500|Resistencia|AR-H|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|28|Sucursal Mendoza|mayorista|Rodríguez Peña|2600|-32.928843|-68.811246|||5501|Godoy Cruz|AR-M|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|35|Sucursal Rio Negro|mayorista|Misiones|1038|-39.033004|-67.585308|||8332|Gral. Roca|AR-R|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|62|Sucursal Rio Grande|mayorista|Chacabuco|1200|-53.799944|-67.737056|||9420|Rio Grande|AR-V|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|cerrado
63|1|2|Sucursal Pacheco|mayorista|Ruta 197|2815|-34.476672|-58.66494|||1618|Pacheco|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|10|Sucursal Boulogne|mayorista|Av. Bdo. de Irigoyen|1062|-34.501719|-58.575896|||1609|Boulogne|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|17|Sucursal La Plata|mayorista|Calle 13 esq. 517||-34.893679|-57.991794|||1900|La Plata|AR-B|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
63|1|65|Sucursal San Juan|mayorista|Ruta N°40 KM|3456|-31.6|-68.52|||5427|Pocitos|AR-J|07:00 a 19:00|07:00 a 19:00|07:00 a 19:00|07:00 a 19:00|07:00 a 19:00|07:00 a 19:00|cerrado
63|1|27|Sucursal Cordoba|mayorista|Av.Circunvalación|1400|-31.469211|-64.176174|||5000|Córdoba|AR-X|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 17:30|07:00 a 18:00|cerrado
