id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|id_dun_14|productos_descripcion|productos_marca|precio_unitario_bulto_por_unidad_venta_con_iva|precio_unitario_bulto_por_unidad_venta_sin_iva|unidad_venta|precio_bulto_con_iva|precio_bulto_sin_iva|productos_precio_unitario_con_iva_promo1|productos_precio_unitario_sin_iva_promo1|productos_leyenda_promo1|productos_precio_unitario_con_iva_promo2|productos_precio_unitario_sin_iva_promo2|productos_leyenda_promo2
63|1|1|7792222002827|1|17792222002831|PASTILL DRF NARANJA 23 gr|DRF|383.88|317.26|144|55278.72|45685.44||||||
63|1|1|7500435201292|1|17500435201299|ENJ. DOWNY BRISA INTEN 500 ml|DOWNY|5279.88|4363.54|12|63358.56|52362.48||||||
63|1|1|7702018001071|1|17702018001078|MAQUINA MACH 3 REGUL.MAQUI|MACH 3|14398.78|11899.82|30|431963.40|356994.60||||||
63|1|1|7790895647017|1|07790895064340|JUG. CEPITA MANZANA 1 lt|CEPITA|1687.22|1394.40|8|13497.76|11155.20||||||
63|1|1|7790895649301|1|07790895641596|JUG. CEPITA NARANJA 200 cc|CEPITA|760.22|628.28|6|4561.32|3769.68||||||
63|1|1|7791200200828|1|17791200000210|VODKA SKYY 700 ml|SKYY|7601.70|6282.40|12|91220.40|75388.80||||||
63|1|1|7791560527955|1|97791560527958|CHAMP. CUVEE M.LEGER SPR 269 cc|CUVEE|3119.86|2578.40|24|74876.64|61881.60||||||
63|1|1|7790070035981|1|17790070031829|MILANES GJA.SOL SOJA ESPINA 330 gr|GJA.SOL|4438.79|3668.42|24|106530.96|88042.08||||||
63|1|1|7794000006324|1|17794000960616|KETCHUP HELLMANNS BSA 3 kg|HELLMANNS|15599.86|12892.45|3|46799.58|38677.35||||||
63|1|1|7891024027226|1|27509546053077|JAB.LIQ PROTEX BALANCE D.P 200 ml|PROTEX|2219.88|1834.61|24|53277.12|44030.64||||||
63|1|1|7791290793330|1|37791290005649|LIMP. CIF PIS.OXY GEL 750 ml|CIF|4799.88|3966.84|12|57598.56|47602.08||||||
63|1|1|7790580111755|1|17790580115859|CHOC. GRAFFITTI 45 gr|GRAFFITTI|1919.88|1586.68|192|368616.96|304642.56||||||
63|1|1|0000078909434|1|00000078909434|BOMBON F.ROCHER 3 un|F.ROCHER|4199.89|3470.98|96|403189.44|333214.08||||||
63|1|1|7790250040774|1|17790250044229|PANAL BABYSEC UL.REG.GDE. 8 un|BABYSEC|2351.88|1943.70|20|47037.60|38874.00||||||
63|1|1|7790740001414|1|17790740001411|SHAMP. PLUSBELLE .ESEN.HIDRA 970 ml|PLUSBELLE|4319.87|3570.14|12|51838.44|42841.68||||||
63|1|1|7861002900117|1|27861002900128|BOMBON F.ROCHER 8 un|F.ROCHER|11999.88|9917.26|20|239997.60|198345.20||||||
63|1|1|7792360072423|1|17792360072437|CHOC. MECANO 19 gr|MECANO|1079.86|892.45|192|207333.12|171350.40||||||
63|1|1|7790950002768|1|37790950002769|AMERICA MARCELA 950 cc|MARCELA|4043.63|3341.84|12|48523.56|40102.08||||||
63|1|1|7790950137804|1|37790950136433|APERIT. DR.LEMON RED BERRY 1 lt|DR.LEMON|3280.99|2711.56|12|39371.88|32538.72||||||
63|1|1|7500435178570|1|17506195167219|MAQUINA PRESTOBAR 2FIL.BODY 2 un|PRESTOBAR|8279.87|6842.87|72|596150.64|492686.64||||||
63|1|1|7790742437303|1|07790742437303|LECHE L.SERENIS. ENTERA BOL. 800 gr|L.SERENIS.|11159.88|9223.04|12|133918.56|110676.48||||||
63|1|1|7790272001005|1|57790272001000|AC. NATURA GIRASOL 900 cc|NATURA|4259.88|3520.56|15|63898.20|52808.40||||||
63|1|1|3270220000167|1|03270220000167|LAPIZ BIC EVO.HB 4 un|BIC|2783.87|2300.72|25|69596.75|57518.00||||||
63|1|1|7793350102304|1|17793350102301|POMADA WASSINGT. PREM.NEGRA 37 cc|WASSINGT.|2999.88|2479.24|120|359985.60|297508.80||||||
63|1|1|7622201735319|1|17622201735309|GAL. LINCOLN 219 gr|LINCOLN|2399.88|1983.37|36|86395.68|71401.32||||||
63|1|1|7798167047923|1|67798167046904|APERIT. 1882 C.COLA 473 cc|1882|1688.01|1395.05|24|40512.24|33481.20||||||
63|1|1|7792129000346|1|37792129000347|EDULC. SUCARYL 180 cc|SUCARYL|2999.88|2479.24|6|17999.28|14875.44||||||
63|1|1|7790272001029|1|17790272001026|AC. NATURA GIRASOL PVC 1.5 lt|NATURA|6239.89|5156.93|12|74878.68|61883.16||||||
63|1|1|7793424000130|1|17793424000137|PALA BUSGRAN PLASTICAS|BUSGRAN|1318.79|1089.91|36|47476.44|39236.76||||||
63|1|1|7793350000914|1|17793350000911|POMADA WASSINGT. PREM.NEGRA 65 gr|WASSINGT.|4799.88|3966.84|6|28799.28|23801.04||||||
63|1|1|7898024395232|1|27898024395236|PASTA NUTELLA AVELLANAS 140 gr|NUTELLA|4799.88|3966.84|10|47998.80|39668.40||||||
63|1|1|7790520025814|1|37790520990076|REPEL. FUYI AEROSOL 165 gr|FUYI|4799.88|3966.84|12|57598.56|47602.08||||||
63|1|1|7790250022053|1|17790250022456|ROL.COC ELITE TEXTURA 3X60 un|ELITE|3119.89|2578.42|10|31198.90|25784.20||||||
63|1|1|7792319972750|1|07792319972767|VINO SEXY FISH CAB.FRANC 750 cc|SEXY FISH|4679.87|3867.66|6|28079.22|23205.96||||||
63|1|1|7790895000997|1|11111111111123|GAS. COCA COLA 2.25 lt|COCA COLA|5353.37|4424.27|8|42826.96|35394.16||||||
63|1|1|7506309803784|1|17506309803781|ACOND. PANTENE RESTAURACIO 10 ml|PANTENE|197.88|163.54|576|113978.88|94199.04||||||
63|1|1|7622202247286|1|17791249444822|PASTILL HALLS CHERRY 25.2 gr|HALLS|839.89|694.12|360|302360.40|249883.20||||||
63|1|1|0000077903860|1|40000077903868|ALFAJ. TERRABUSI TRIP.TORTA 70 gr|TERRABUSI|1799.88|1487.50|36|64795.68|53550.00||||||
63|1|1|7792180001665|1|17792180001662|AC. CANUELAS GIRASOL 1.5 lt|CANUELAS|6179.88|5107.34|12|74158.56|61288.08||||||
63|1|1|7790070100764|1|27790070410713|GELAT. EXQUISITA FRUT.LIGHT 22 gr|EXQUISITA|1079.88|892.46|90|97189.20|80321.40||||||
63|1|1|7798130953633|1|17798130953630|CHUPET. FUN POP COCO|FUN POP|2759.88|2280.89|8|22079.04|18247.12||||||
63|1|1|8445290180209|1|07613036954310|LECHE NESTLE NIDINA 2 200 ml|NESTLE|1799.88|1487.50|24|43197.12|35700.00||||||
63|1|1|4005808257553|1|17319470004228|ANT.MAS NIVEA ROL.F.M.DR. 50 ml|NIVEA|2039.87|1685.84|12|24478.44|20230.08||||||
63|1|1|7791290794269|1|27791290787951|LAVAVAJ ALA ULT.LIM.DP 450 ml|ALA|2639.88|2181.72|15|39598.20|32725.80||||||
63|1|1|7790070100771|1|27790070410720|GELAT. EXQUISITA CER.LIGHT 22 gr|EXQUISITA|1079.88|892.46|90|97189.20|80321.40||||||
63|1|1|7790641000523|1|17790641000520|SAL COLOSAL FINA DP 500 gr|COLOSAL|875.87|723.86|20|17517.40|14477.20||||||
63|1|1|7798094223650|1|17798094223657|TURRON FULBITO 25 gr|FULBITO|179.88|148.66|50|8994.00|7433.00||||||
63|1|1|7622201504007|1|17622201503991|GAL. ANILLOS 300 gr|ANILLOS|3299.88|2727.17|24|79197.12|65452.08||||||
63|1|1|7806810204170|1|17806810204177|MOLDE ILKO TARTA A.ADH 28 cm|ILKO|11638.80|9618.84|12|139665.60|115426.08||||||
63|1|1|7806810025133|1|17806810012116|MOLDE ILKO BUDIN A.ADH 25 cm|ILKO|16798.79|13883.30|12|201585.48|166599.60||||||
63|1|1|7790150079904|1|17790150080112|CAFE L.VIRGINIA SAQUITO 20 un|L.VIRGINIA|4199.89|3470.98|10|41998.90|34709.80||||||
63|1|1|7790040008175|1|17790040008172|GAL. OPERA 4X55 gr|OPERA|2819.87|2330.47|14|39478.18|32626.58||||||
63|1|1|7791337010192|1|07791337007444|YOGHURT L.SERENIS. ENTERO VAIN 190 gr|L.SERENIS.|1679.88|1388.33|20|33597.60|27766.60||||||
63|1|1|4005808257584|1|17319470004242|ANT.FEM NIVEA ROL.DR.CONF 50 ml|NIVEA|2039.87|1685.84|12|24478.44|20230.08||||||
63|1|1|7790520025838|1|57790520996607|TABLETA FUYI MOSQ. 12 un|FUYI|3719.88|3074.28|20|74397.60|61485.60||||||
63|1|1|7798186034461|1|17798186034468|GOMITAS BULL DOG FRUTILLA 360 gr|BULL DOG|6599.87|5454.44|12|79198.44|65453.28||||||
63|1|1|7790040377806|1|17790040377803|GAL. CRIOLLITAS 3X100 gr|CRIOLLITAS|1919.88|1586.68|22|42237.36|34906.96||||||
63|1|1|7791290795518|1|27791290788491|JAB.LIQ SKIP P/DILUIR CO 500 ml|SKIP|8639.88|7140.40|12|103678.56|85684.80||||||
63|1|1|7622201745905|1|37622300840267|GAL. CEREALITA 636 gr|CEREALITA|4799.88|3966.84|15|71998.20|59502.60||||||
63|1|1|7792900092829|1|47792900092827|MEZ.ESP D.ANCLAS 25 gr|D.ANCLAS|959.87|793.28|30|28796.10|23798.40||||||
63|1|1|7798140257851|1|17798140257858|SHAMP. TIO NACHO ANTICANAS 415 ml|TIO NACHO|7199.89|5950.32|12|86398.68|71403.84||||||
63|1|1|7790580130626|1|17790580130920|GOMITAS FRUTIGELAT SAURIUS 25 gr|FRUTIGELATIN|359.88|297.42|144|51822.72|42828.48||||||
63|1|1|7702018880409|1|17506339334354|MAQUINA PRESTOBAR 3FIL.C/BAND|PRESTOBAR|1499.89|1239.58|120|179986.80|148749.60||||||
63|1|1|7798138555624|1|17798138555621|FID. FRANCESCA TALLARIN 500 gr|FRANCESCA|1739.87|1437.91|12|20878.44|17254.92||||||
63|1|1|7790010002691|1|17790010002698|T.FEM. S.LIBRE AD.PL. S/AL 8 un|S.LIBRE|3359.88|2776.76|48|161274.24|133284.48||||||
63|1|1|7791290795808|1|27791290795802|LIMP. CIF GEL ORIG. 250 gr|CIF|2399.88|1983.37|12|28798.56|23800.44||||||
63|1|1|7891361269839|1|47891361269837|PLATO OXFORD POSTRE OLIV 19 cm|OXFORD|7678.81|6346.12|12|92145.72|76153.44||||||
63|1|1|7790990003220|1|17500435004654|JAB.LIQ ARIEL PLAT.LIM.DP 3 lt|ARIEL|9959.87|8231.30|4|39839.48|32925.20||||||
63|1|1|7790380002826|1|17790380002823|CAR. FLYN PAFF CONFITADO 50 gr|FLYN PAFF|1127.87|932.12|30|33836.10|27963.60||||||
63|1|1|7791130001786|1|47791130001784|PRELAV. VANISH WHIT.02 DP 400 ml|VANISH|1919.88|1586.68|12|23038.56|19040.16||||||
63|1|1|7509546653396|1|16920354822190|CR.DENT COLGATE SENS.PRO AL 60 gr|COLGATE|2699.87|2231.30|48|129593.76|107102.40||||||
63|1|1|7790260002267|1|17790260002264|LICOR T.PLUMAS CAF.RON 750 cc|T.PLUMAS|5759.59|4759.99|6|34557.54|28559.94||||||
63|1|1|7795735601228|1|17795735601225|BIZCOCH DON SATUR 100%VEGETAL 170 gr|DON SATUR|1319.87|1090.80|30|39596.10|32724.00||||||
63|1|1|7794520868884|1|57794520000821|PAP.FR. KRACHITOS CHEDDAR 330 gr|KRACHITOS|7199.89|5950.32|10|71998.90|59503.20||||||
63|1|1|7891150104822|1|07891150104822|SHAMP. DOVE UV REPAIR 200 ml|DOVE|4799.88|3966.84|12|57598.56|47602.08||||||
63|1|1|7794270801735|1|07794270801735|AL.ANIM FLECKY CARNE ADULT 10 kg|FLECKY|13199.89|10909.00|1|13199.89|10909.00||||||
