id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|id_dun_14|productos_descripcion|productos_marca|precio_unitario_bulto_por_unidad_venta_con_iva|precio_unitario_bulto_por_unidad_venta_sin_iva|unidad_venta|precio_bulto_con_iva|precio_bulto_sin_iva|productos_precio_unitario_con_iva_promo1|productos_precio_unitario_sin_iva_promo1|productos_leyenda_promo1|productos_precio_unitario_con_iva_promo2|productos_precio_unitario_sin_iva_promo2|productos_leyenda_promo2
66|1|1|0000000081744|1|81744|FW canopla oval dob.cierre 1 un|FW|10647.99|8799.99|48|511103.52|422399.52||||||
66|1|1|0000030108493|1|3600531291334|MAYB.masc.go extreme wp 1un (z)|MAYBELLINE|20850.22|17231.59|3|62550.66|51694.77||||||
66|1|1|0000042277088|1|17319470094168|NIVEA cr.cuid.antiarrug. 50 ml (z)|NIVEA|307.57|254.19|16|4921.12|4067.04||||||
66|1|1|0000042277095|1|17319470095868|NIVEA cr.cuid.antiarrug. 100 g|NIVEA|5695.58|4707.09|12|68346.96|56485.08||||||
66|1|1|0000042277712|1|17319470114644|NIVEA cr.cuid.radiante 100 g (z)|NIVEA|5064.44|4185.49|24|121546.56|100451.76||||||
66|1|1|0000042300083|1|17319470114682|NIVEA cr.cuidado nutri. 100 g|NIVEA|5695.58|4707.09|24|136693.92|112970.16||||||
66|1|1|0000042389767|1|4005805280028|NIVEA cr.cuid.limpieza. 100 g (z)|NIVEA|862.84|713.09|24|20708.16|17114.16||||||
66|1|1|0000075027537|1|20000075027531|DOVE antit.barra invisible dry 50G. (z)|DOVE|3577.23|2956.39|12|42926.76|35476.68||||||
66|1|1|0000075029982|1|20000075029986|REXONA barra ant.act.mot. 50 g|REXONA|4882.94|4035.49|12|58595.28|48425.88||||||
66|1|1|0000075068493|1|20000075068497|DOVE antit.barra matcha 50G. (z)|DOVE|3577.23|2956.39|12|42926.76|35476.68||||||
66|1|1|0000075076771|1|20000075076775|REXONA barra women extra fresh 50 g (z)|REXONA|4001.58|3307.09|12|48018.96|39685.08||||||
66|1|1|0000075076788|1|20000075076782|REXONA MEN antit.barra V8 50 g|REXONA|4001.58|3307.09|12|48018.96|39685.08||||||
66|1|1|0000075080136|1|20000075080130|DOVE ant.barra orig. 50 g|DOVE|5014.95|4144.59|12|60179.40|49735.08||||||
66|1|1|0000075080143|1|20000075080147|DOVE ant.barra prot.total 50 g|DOVE|5164.99|4268.59|12|61979.88|51223.08||||||
66|1|1|0000075083694|1|20000075083698|AXE barra ant.blue lavender 58 g|AXE|6380.08|5272.79|12|76560.96|63273.48||||||
66|1|1|0000075083700|1|20000075083704|AXE barra ant.aqua citrus 58 g|AXE|6380.08|5272.79|12|76560.96|63273.48||||||
66|1|1|0000077020512|1|17709952815518|TIC-TAC menta fresca 1un (x12 un)|TIC-TAC|675.05|557.89|288|194414.40|160672.32||||||
66|1|1|0000077901019|1|77901019|HORTAL hormig.liq. 120 ml|HORTAL|4987.97|4122.29|6|29927.82|24733.74||||||
