id_comercio|id_bandera|id_sucursal|id_producto|productos_ean|id_dun_14|productos_descripcion|productos_marca|precio_unitario_bulto_por_unidad_venta_con_iva|precio_unitario_bulto_por_unidad_venta_sin_iva|unidad_venta|precio_bulto_con_iva|precio_bulto_sin_iva|productos_precio_unitario_con_iva_promo1|productos_precio_unitario_sin_iva_promo1|productos_leyenda_promo1|productos_precio_unitario_con_iva_promo2|productos_precio_unitario_sin_iva_promo2|productos_leyenda_promo2
60|1|0001|7790580160807|1|07790580108106|Aceite maiz ARCOR x 900ml|ARCOR|5148.01|4254.55|12.00|61776.12|51054.60||||||
60|1|0001|7790580160807|1|07790580108106|Aceite maiz ARCOR x 900ml|ARCOR|5148.01|4254.55|12.00|61776.12|51054.60||||||
60|1|0001|7790060023684|1|07790060023684|Aceite girasol COCINERO x1.5lt|COCINERO|5148.01|4254.55|12.00|61776.12|51054.60||||||
60|1|0001|7790060023684|1|07790060023684|Aceite girasol COCINERO x1.5lt|COCINERO|5148.01|4254.55|12.00|61776.12|51054.60||||||
60|1|0001|7790070265333|1|07790070015334|Aceite aerosol FRITOLIM clasico x120gr|FRITOLIM|3500.00|2892.56|12.00|42000.00|34710.72||||||
60|1|0001|7790070265333|1|07790070015334|Aceite aerosol FRITOLIM clasico x120gr|FRITOLIM|3500.00|2892.56|12.00|42000.00|34710.72||||||
60|1|0001|7790070265340|1|07790070015358|Aceite aerosol FRITOLIM manteca x120gr|FRITOLIM|4272.99|3531.40|12.00|51275.88|42376.80||||||
60|1|0001|7790070265340|1|07790070015358|Aceite aerosol FRITOLIM manteca x120gr|FRITOLIM|4272.99|3531.40|12.00|51275.88|42376.80||||||
60|1|0001|7790272001029|1|07790272001029|Aceite girasol NATURA x1.5lt|NATURA|5663.01|4680.17|12.00|67956.12|56162.04||||||
60|1|0001|7790272001029|1|07790272001029|Aceite girasol NATURA x1.5lt|NATURA|5663.01|4680.17|12.00|67956.12|56162.04||||||
60|1|0001|7790272001036|1|07790272001036|Aceite girasol NATURA x3lt|NATURA|11380.00|9404.96|6.00|68280.00|56429.76||||||
60|1|0001|7790272001036|1|07790272001036|Aceite girasol NATURA x3lt|NATURA|11380.00|9404.96|6.00|68280.00|56429.76||||||
60|1|0001|7790272004112|1|07790272004112|Aceite girasol NATURA x5lt|NATURA|18538.00|15320.66|4.00|74152.00|61282.64||||||
60|1|0001|7790272004112|1|07790272004112|Aceite girasol NATURA x5lt|NATURA|18538.00|15320.66|4.00|74152.00|61282.64||||||
60|1|0001|7790790120257|1|07790790002065|Arvejas INCA en lata x350gr|INCA|623.00|514.88|24.00|14952.00|12357.12||||||
60|1|0001|7790790120257|1|07790790002065|Arvejas INCA en lata x350gr|INCA|623.00|514.88|24.00|14952.00|12357.12||||||
60|1|0001|7791120032561|1|07791120032561|Arroz largo fino 53 x500gr|53|550.01|454.55|10.00|5500.10|4545.50||||||
60|1|0001|7791120032561|1|07791120032561|Arroz largo fino 53 x500gr|53|550.01|454.55|10.00|5500.10|4545.50||||||
60|1|0001|7791120032554|1|07791120032554|Arroz largo fino 53 x1kg|53|1090.00|900.83|10.00|10900.00|9008.30||||||
60|1|0001|7791120032554|1|07791120032554|Arroz largo fino 53 x1kg|53|1090.00|900.83|10.00|10900.00|9008.30||||||
60|1|0001|7791120103865|1|07791120100093|Polenta MOLINOS ALA instantanea x730g|MOLINOS ALA|1131.00|934.71|10.00|11310.00|9347.10||||||
60|1|0001|7791120103865|1|07791120100093|Polenta MOLINOS ALA instantanea x730g|MOLINOS ALA|1131.00|934.71|10.00|11310.00|9347.10||||||
60|1|0001|7791120021565|1|07791120021565|Arroz doble carolina MOLINOS ALA x500gr|MOLINOS ALA|1478.00|1221.49|10.00|14780.00|12214.90||||||
60|1|0001|7791120021565|1|07791120021565|Arroz doble carolina MOLINOS ALA x500gr|MOLINOS ALA|1478.00|1221.49|10.00|14780.00|12214.90||||||
60|1|0001|7791120021558|1|07791120021558|Arroz doble MOLINOS ALA x1kg|MOLINOS ALA|2223.00|1837.19|10.00|22230.00|18371.90||||||
